group,datasetName,datasetId,formula,adduct,chemMod,ion,mz,msm,fdr,rhoSpatial,rhoSpectral,rhoChaos,moleculeNames,moleculeIds,minIntensity,maxIntensity,totalIntensity,isomers,isobars,offSample,rawOffSampleProb,isobarIons
Iowa State University,gta3619,2025-06-19_16h57m41s,C7H6O4,M[M]+,-O+C5H12N3O,C7H6O4-O+C5H12N3O+,268.1291825,0.83782804,0.05,0.8448983943494557,0.9927743690904876,0.9988490182802979,"Xylaric Acid, 3,5-dihydroxybenzoic acid, Gentisate, Phloroglucinaldehyde, 2,6-dihydroxybenzoic acid, Dobk, 2,4-dihydroxybenzoic acid, 1,7-dioxaspiro[4.4]non-2-ene-4,8-dione, Protocatehuic Acid","CNP0138896, CNP0151632, CNP0187458, CNP0198826, CNP0200151, CNP0283277, CNP0285956, CNP0326918, CNP0348948",0,106158.0703,61041568,9,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C10H20O,M[M]+,-O+C5H12N3O,C10H20O-O+C5H12N3O+,270.253989,0.8313061,0.05,0.838785328,0.992407391,0.9986657697051239,"2-methyl-6-methylideneoctan-2-ol, 3,7-dimethyloct-2-en-1-ol, 1-butoxyhex-2-ene, 3,7-dimethyloct-7-en-3-ol, 2,6-dimethyloct-7-en-2-ol, 2,2-dimethyloct-4-en-3-ol, decan-2-one, 8-methylnonanal, Elenol, dec-3-en-2-ol, P-Menthan-9-Ol, 2-methyl-5-(propan-2-yl)cyclohexan-1-ol, 1-methyl-3-(propan-2-yloxy)cyclohexane, dec-2-en-1-ol, 4-methyl-1-(propan-2-yl)cyclohexan-1-ol, Menthol, decan-3-one, decanal, Bupleurol, 3,7-dimethyloct-7-en-1-ol, 2-(4-methylcyclohexyl)propan-2-ol, 9-Decen-1-Ol","CNP0076164, CNP0076235, CNP0076694, CNP0076879, CNP0080125, CNP0085642, CNP0137224, CNP0143553, CNP0152105, CNP0160624, CNP0163573, CNP0166770, CNP0180292, CNP0212450, CNP0220597, CNP0243697, CNP0252003, CNP0263174, CNP0310766, CNP0312650, CNP0330044, CNP0359327",0,81648.39844,54887956,22,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C16H16O7,M[M]+,-O+C5H12N3O,C16H16O7-O+C5H12N3O+,434.1921766,0.82478905,0.05,0.8361236504858863,0.9885867141494842,0.9978324348607367,"Phebaclavin G, Ourateacatechin, Phebaclavin H, methyl 1,2,8-trihydroxy-6-methyl-9-oxo-2,3,4,9-tetrahydro-1H-xanthene-1-carboxylate, Phebaclavin E, Phebaclavin D, Gliricidol, 4,5-dihydroxy-3-{[3-(4-hydroxyphenyl)prop-2-enoyl]oxy}cyclohex-1-ene-1-carboxylic acid, 3-Deacetylcrotepoxide","CNP0162103, CNP0164561, CNP0171442, CNP0195878, CNP0204024, CNP0243499, CNP0295623, CNP0306181, CNP0424855",0,51450.73438,46458488,9,1,,,C23H30O8+
Iowa State University,gta3619,2025-06-19_16h57m41s,C6H8O7,M[M]+,-O+C5H12N3O,C6H8O7-O+C5H12N3O+,306.1295764,0.82309467,0.05,0.8319558323084105,0.9903820575745189,0.9989569313593539,"Citrate, Isocitrate","CNP0149674, CNP0271038",0,102440.5234,60185964,2,2,,,"C20H18O3+H+, C15H18N2O5+H+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C12H20O3,M[M]+,-O+C5H12N3O,C12H20O3-O+C5H12N3O+,326.2438183,0.8223483,0.05,0.837838515,0.9825285952689531,0.9989650129373383,"Putaminoxin, 1,3,3-trimethyl-2-oxabicyclo[2.2.2]octan-6-yl acetate, 1-methyl-3-oxo-4-(propan-2-yl)cyclohexyl acetate, 1,2-Epoxymenthyl Acetate, Cis-(+)-2-(Ethoxymethyl)-4-Hydroxy-5-(1-Methylethyl)-2-Cyclohexen, [4Ar-(4Aalpha,5Beta,6Beta,8Abeta)]-Octahydro-5,6-Dihydroxy-5,8A-Dimethyl-2(1H)-Naphthalenone, Cucurbic Acid, Vulgarole, 6-Hydroxy-7(9)-Dehydro-6,7-Dihydrogeranyl Acetate, 9,10-Dihydrojasmonic Acid, 6-Hydroxy-7(9)-Dehydro-6,7-Dihydroneryl Acetate, 5-(3,3-dimethyloxiran-2-yl)-3-methylpent-2-en-1-yl acetate, Helicascolide A, 3-Acetoxy-2,2,6-Trimethyl-6-Vinyltetrahydropyran","CNP0081450, CNP0113095, CNP0138883, CNP0144980, CNP0146596, CNP0169699, CNP0180266, CNP0183187, CNP0280561, CNP0285059, CNP0311452, CNP0333202, CNP0354474, CNP0400420",0,77327.69531,44022712,14,1,,,C19H34O4+
Iowa State University,gta3619,2025-06-19_16h57m41s,C12H22O11,M[M]+,-O+C5H12N3O,C12H22O11-O+C5H12N3O+,456.21878531100003,0.7779159,0.05,0.8132326740882806,0.9577559308130482,0.9987641837995731,"2,4,5,6-tetrahydroxy-3-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}hexanal, Galactinol, Sucrose, Brachiose, Laminariaceae, Mycose, Isomaltose, Lactose, 2,3,5,6-tetrahydroxy-4-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}hexanal, Palatinose, Sophorose, Turanose","CNP0178429, CNP0207677, CNP0208561, CNP0212546, CNP0217324, CNP0217590, CNP0226411, CNP0226604, CNP0234169, CNP0263773, CNP0305679, CNP0346928",0,39407.76953,33826604,12,2,,,"C26H32O7+H+, C19H18O6-O+C5H12N3O+H+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C6H6O3,M[M]+,-O+C5H12N3O,C6H6O3-O+C5H12N3O+,240.1342678,0.77679276,0.05,0.7844677325673448,0.991491015,0.9987144168962351,"Hydroxyquinol, methyl furan-3-carboxylate, Hydroxymethylfurfural, 1-(3-hydroxyfuran-2-yl)ethan-1-one, Vetol, Phloroglucinol, Pyrogallol","CNP0187325, CNP0209204, CNP0222574, CNP0270989, CNP0287207, CNP0299558, CNP0308187",0,68592.07031,38145372,7,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C8H12O,M[M]+,-O+C5H12N3O,C8H12O-O+C5H12N3O+,238.19138879099998,0.77610403,0.05,0.7910147839103858,0.9821048327437755,0.9990276295505751,"3,5,5-trimethylcyclopent-2-en-1-one, 2-butylfuran, 3,5-dimethylcyclohex-2-en-1-one, octa-3,5-dien-2-one","CNP0143665, CNP0200391, CNP0386862, CNP0389633",0,51764.375,16704353,4,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C8H8O5,M[M]+,-O+C5H12N3O,C8H8O5-O+C5H12N3O+,298.1397471,0.775201,0.05,0.7844843164521941,0.9898421279373397,0.9983070235644017,"Methyl_Gallate, 3,4-dihydroxy-5-methoxybenzoic acid","CNP0110273, CNP0383759",0,50214.92969,37526824,2,1,,,C15H22O6+
Iowa State University,gta3619,2025-06-19_16h57m41s,C28H46O,M[M]+,-O+C5H12N3O,C28H46O-O+C5H12N3O+,512.4574399,0.77437866,0.05,0.8063575754964059,0.9612702939408123,0.9990338164251208,"Ostreasterol, Brassicasterin, 1-(5,6-dimethylhept-3-en-2-yl)-9a,11a-dimethyl-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol, Episterol, Fecosterol, 1-(5,6-dimethylheptan-2-yl)-9a,11a-dimethyl-1H,2H,3H,3aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol, 6,9a,11a-trimethyl-1-(6-methylhept-5-en-2-yl)-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol, Campestenone, Dihydrocyclonervilasterol","CNP0211064, CNP0215345, CNP0230123, CNP0237247, CNP0278230, CNP0279801, CNP0285721, CNP0296331, CNP0359973",0,52861.03125,6331910,9,1,,,C35H60O2+
Iowa State University,gta3619,2025-06-19_16h57m41s,C10H10O5,M[M]+,-O+C5H12N3O,C10H10O5-O+C5H12N3O+,324.1553972,0.77409476,0.05,0.7864308765063562,0.9861763547143567,0.9981112984822934,"2,4-dihydroxy-6-(2-oxopropyl)benzoic acid, Curvulinic Acid, 3-(3,4-dihydroxy-5-methoxyphenyl)prop-2-enoic acid, Methyl Haematomate, Macrophyllide","CNP0109676, CNP0174831, CNP0201458, CNP0335226, CNP0425672",0,57604.97656,41330164,5,1,,,C17H24O6+
Iowa State University,gta3619,2025-06-19_16h57m41s,C9H16O,M[M]+,-O+C5H12N3O,C9H16O-O+C5H12N3O+,254.22268891899998,0.7699056,0.05,0.7796427642833449,0.9888443427970156,0.9986513823331086,"3,5,5-trimethylcyclohex-2-en-1-ol, non-6-enal, 2,6-dimethylhept-5-enal, non-2-enal, (2-Exo,3-Endo)-2,3-Dimethyl-Bicyclo[2.2.1]Heptan-2-Ol, 2,6-dimethylhept-2-enal, 2,2,6-trimethylcyclohexan-1-one, nona-2,6-dien-1-ol, non-3-en-2-one, 1,7-dimethylbicyclo[2.2.1]heptan-2-ol","CNP0077291, CNP0136988, CNP0150075, CNP0163216, CNP0164307, CNP0199233, CNP0229398, CNP0250471, CNP0269922, CNP0311859",0,43100.23438,28517944,10,0,,,
Iowa State University,gta3619,2025-06-19_16h57m41s,C10H10O4,M[M]+,-O+C5H12N3O,C10H10O4-O+C5H12N3O+,308.1604826,0.7652963,0.05,0.7762114398605753,0.9875272254364172,0.9983905701008727,"4-(2-Hydroxyphenyl)-4-Oxobutyric Acid, 5,8-dihydroxy-3-methyl-3,4-dihydro-1H-2-benzopyran-1-one, 6,8-dihydroxy-1-methyl-3,4-dihydro-1H-2-benzopyran-3-one, 5-ethenyl-6-hydroxy-1H,3H,5H,6H-pyrano[3,4-c]pyran-1-one, 3,4,8-trihydroxy-1,2,3,4-tetrahydronaphthalen-1-one, 1-(6-hydroxy-2H-1,3-benzodioxol-5-yl)propan-1-one, 4,8-dihydroxy-3-methyl-3,4-dihydro-1H-2-benzopyran-1-one, 5-Hydroxyconiferaldehyde, Methylcaffeate, Hesperetic Acid, 6,7-Dimethoxy-3H-2-Benzofuran-1-One, Ferulic Acid, methyl 2-(4-methoxyphenyl)-2-oxoacetate, 1aH,2H,7H,7aH-naphtho[2,3-b]oxirene-2,3,7-triol, 6-hydroxymellein, 2,4,8-Trihydroxy-1-Tetralone","CNP0137475, CNP0165793, CNP0186999, CNP0189244, CNP0204009, CNP0242540, CNP0244185, CNP0274631, CNP0274791, CNP0283368, CNP0295959, CNP0304940, CNP0321266, CNP0323668, CNP0395266, CNP0404506",0,49395.02344,34237432,16,1,,,C17H24O5+
Iowa State University,gta3619,2025-06-19_16h57m41s,C9H10O4,M[M]+,-O+C5H12N3O,C9H10O4-O+C5H12N3O+,296.1604826,0.75978047,0.05,0.770654567,0.9878635231005078,0.9980020318320352,"3-ethoxy-4-hydroxybenzoic acid, Syringaldehyde, 3,5-dimethoxybenzoic acid, 2-(4-methoxycyclohexa-1,3-dien-1-yl)-2-oxoacetic acid, Jasminanhydride, Methyl Orsellinate, Methyl Isovanillate, Vanilacetic Acid, 2,6-dimethoxybenzoic acid, 2,4-dimethoxybenzoic acid, Methyl Vanillate, (-)-Palasonin, Hydrocaffeic Acid, 2',6'-Dihydroxy-4'-Methoxyacetophenone, methyl 2-hydroxy-4-methoxybenzoate, methyl 2-(2,5-dihydroxyphenyl)acetate, Edhb, Veratric Acid, Desacetylcalaminthone, 4-hydroxy-2,3-dimethoxybenzaldehyde","CNP0076092, CNP0113041, CNP0121798, CNP0138113, CNP0144848, CNP0150273, CNP0155987, CNP0188137, CNP0188516, CNP0199475, CNP0205762, CNP0229659, CNP0265756, CNP0276533, CNP0304629, CNP0306666, CNP0317918, CNP0328859, CNP0359727, CNP0393026",0,45862.10156,35542648,20,1,,,C16H24O5+
Iowa State University,gta3619,2025-06-19_16h57m41s,C12H18O,M[M]+,-O+C5H12N3O,C12H18O-O+C5H12N3O+,292.238339,0.757447,0.05,0.7787601184370866,0.9736789192515587,0.9989247311827957,"13-oxabicyclo[10.1.0]trideca-4,8-diene, 4-methyl-2-(3-methylbuta-1,3-dien-1-yl)-2,3,6,7-tetrahydrooxepine, 4-(4-methylcyclohex-3-en-1-yl)pent-3-en-2-one, Dictamnol, (+)-(1S,10R)-1,10-Dimethylbicyclo[4.4.0]Dec-6-En-3-One, 7-Isopropyl-5-Methylbicyclo[2.2.2]Oct-5-En-2-One, Geijeron, 4a,8-dimethyl-2,3,4,4a,5,6,7,8-octahydronaphthalen-2-one","CNP0076715, CNP0173892, CNP0176423, CNP0190095, CNP0236356, CNP0269472, CNP0272407, CNP0308551",0,32518.64648,8371880,8,1,,,C19H32O2+
Iowa State University,gta3619,2025-06-19_16h57m41s,C14H12O4,M[M]+,-O+C5H12N3O,C14H12O4-O+C5H12N3O+,358.17613265100005,0.7494134,0.05,0.7626187066539087,0.9841055940823261,0.9985557083906464,"4-benzoyl-6-methoxybenzene-1,3-diol, Eriobofuran, Oxyresveratrol, 2,2',3,3'-Tetrahydroxystilbene, Belamphenone, benzyl 2,6-dihydroxybenzoate, Cedrecoumarin A, 2,6-Dihydroxy-4-Methoxybenzophenone, Piceatannol, 5-hydroxy-4-methoxy-3-methyl-1H,3H-naphtho[2,3-c]furan-1-one, 4-methoxy-6-(3-phenyloxiran-2-yl)-2H-pyran-2-one, 2,3,5,7-Tetrahydroxy-9,10-Dihydrophenanthrene, Fulvoplumierin, Gnetol, 5-hydroxy-8,8-dimethyl-2H,8H-pyrano[2,3-h]chromen-2-one, 7-methoxy-8-(3-oxobut-1-en-1-yl)-2H-chromen-2-one, Cearoin, (+)-Elisin, Wyerone Acid, Suberenone, 2-(2-hydroxypropan-2-yl)-7H-furo[3,2-g]chromen-7-one, Alloxanthoxyletol, Norbraylin, Seselinol, 7-(but-2-en-1-ylidene)-4-(2-hydroxyacetyl)-1H,7H-cyclopenta[c]pyran-1-one, 4'-Hydroxydehydrokawain, Obliquin","CNP0076863, CNP0107588, CNP0120440, CNP0125559, CNP0139068, CNP0145333, CNP0154129, CNP0154668, CNP0171967, CNP0174785, CNP0179228, CNP0181678, CNP0183824, CNP0184230, CNP0193237, CNP0204291, CNP0215931, CNP0227984, CNP0228350, CNP0235000, CNP0244482, CNP0292467, CNP0299991, CNP0310393, CNP0325688, CNP0333334, CNP0404636",0,35412.88281,22043588,27,2,,,"C9H12N2O6-O+C5H12N3O+H+, C21H26O5+"
Iowa State University,gta3619,2025-06-19_16h57m41s,C6H10O5,M[M]+,-O+C5H12N3O,C6H10O5-O+C5H12N3O+,276.1553972,0.74620897,0.05,0.7546761108633129,0.9903745216553244,0.9983904109589041,"2-hydroxyhexanedioic acid, 1,4-dimethyl 2-hydroxybutanedioate, 2-(hydroxymethyl)-5-(hydroxymethylidene)oxolane-3,4-diol, Dicrotalic Acid, Glucosan","CNP0094826, CNP0140271, CNP0167171, CNP0185364, CNP0224084",0,47739.63281,35332828,5,1,,,C13H24O6+
